"Rank","Mark","WIND","Competitor","DOB","Nat","Pos","Venue","Date","Results.Score","year"
"4974","10.41","+0.4","Toshihiro KAMEOKA","25 APR 1982","JPN","1h1","Matsuyama (JPN)","17 AUG 2002","1069","2002"
"4974","10.41","","Jamey SPERLE","28 NOV 1979","USA","2","Orange County (USA)","03 MAY 2003","1069","2003"
"4974","10.41","+2.0","Tatsuya ITO","21 DEC 1976","JPN","4h1","Mito (JPN)","05 MAY 2003","1069","2003"
"4974","10.41","+0.5","Stefano DACASTELLO","17 FEB 1980","ITA","1","Mondovi (ITA)","24 MAY 2003","1069","2003"
"4974","10.41","+1.2","Stefano BELLOTTO","06 APR 1969","ITA","2h1","Rieti (ITA)","02 AUG 2003","1069","2003"
"4974","10.41","+1.3","Craig HENDRIKS","09 JUL 1980","RSA","2","Germiston (RSA)","17 JAN 2004","1069","2004"
"4974","10.41","+2.0","Fernada BLAKELY","28 SEP 1981","USA","","Starkville, MS (USA)","27 MAR 2004","1069","2004"
"4974","10.41","+0.7","Luis Octavio DOS SANTOS MELLO","20 FEB 1980","BRA","7","São Paulo (BRA)","06 JUN 2004","1069","2004"
"4974","10.41","+2.0","Emile BRITS","02 SEP 1984","RSA","2","Krugersdorp (RSA)","29 JAN 2005","1069","2005"
"4974","10.41","0.0","James DOLPHIN","17 JUN 1983","NZL","1","Hamilton (NZL)","09 FEB 2005","1069","2005"
"4974","10.41","+1.4","Tyree WASHINGTON","28 AUG 1976","USA","3","Azusa, CA (USA)","09 APR 2005","1069","2005"
"4974","10.41","","Xandre STRYDOM","16 MAY 1983","RSA","2","Nairobi (KEN)","07 MAY 2005","1069","2005"
"4974","10.41","+0.8","Scott MAYLE","14 OCT 1983","USA","3h","Athens, OH (USA)","14 MAY 2005","1069","2005"
"4974","10.41","-0.3","Jordan KENT","24 JUL 1984","USA","3h3","Westwood, CA (USA)","14 MAY 2005","1070","2005"
"4974","10.41","","Kevin STEWART","27 JUN 1985","JAM","7","Kingston (JAM)","28 MAY 2005","1069","2005"
"4974","10.41","+1.3","Matthew THOMAS","27 APR 1976","GBR","6","Bedford (GBR)","29 MAY 2005","1069","2005"
"4974","10.41","+1.7","Daniel ABENZOAR FOULE","04 SEP 1981","LUX","6sf1","Nancy (FRA)","21 JUL 2006","1069","2006"
"4974","10.41","0.0","Ryoto ISHIGURO","18 SEP 1984","JPN","1","Fukuoka (JPN)","16 SEP 2006","1069","2006"
"4974","10.41","+1.8","A. ARAVIND","","IND","1sf1","Chennai (IND)","02 NOV 2006","1069","2006"
"4974","10.41","+0.9","Tremaine SMITH","16 APR 1986","USA","3h1","Austin, TX (USA)","06 APR 2007","1069","2007"
"4974","10.41","+2.0","Jerrod WIMS","11 JUN 1986","USA","6","Coral Gables, FL (USA)","14 APR 2007","1069","2007"
"4974","10.41","+1.6","Garrion MARTIN","","USA","1h3","Tuscaloosa, AL (USA)","20 APR 2007","1069","2007"
"4974","10.41","0.0","Chris NWANZE","","NGR","4","Abuja (NGR)","05 MAY 2007","1069","2007"
"4974","10.41","+0.1","Ridgon WITHFIELD","","USA","6","Durham, NC (USA)","12 MAY 2007","1069","2007"
"4974","10.41","+2.0","Nils NUBRET","28 JUN 1988","FRA","1","Les Abymes (FRA)","02 JUN 2007","1069","2007"
"4974","10.41","+0.1","Trenton Antonio GUY","22 AUG 1987","USA","1","Greensboro, NC (USA)","16 JUN 2007","1069","2007"
"4974","10.41","+0.3","Benjamin GRILL","12 JUN 1985","AUT","1h1","Feldkirch (AUT)","30 JUN 2007","1069","2007"
"4974","10.41","+1.9","Miklós SZEBENY","13 MAR 1987","HUN","1","Budapest (HUN)","07 JUL 2007","1069","2007"
"4974","10.41","+1.3","Jayson JONES","15 AUG 1977","BIZ","1h2","Clermont, FL (USA)","19 APR 2008","1069","2008"
"4974","10.41","+1.1","Donald MONROE","09 JUL 1989","USA","1","Austin, TX (USA)","09 MAY 2008","1069","2008"
"4974","10.41","-1.1","Lamar MARKETT","07 SEP 1989","USA","3h2","Tallahassee, FL (USA)","30 MAY 2008","1075","2008"
"4974","10.41","+0.3","Matt BRUNO","09 MAY 1983","USA","5f2","Walnut, CA (USA)","15 JUN 2008","1069","2008"
"4974","10.41","0.0","Van Huynh NGUYEN","04 JAN 1985","VIE","1f1","Kuala Lumpur (MAS)","15 DEC 2008","1069","2008"
"4974","10.41","+1.2","Agbowa EMBOSO","","NGR","3sf2","Kaduna (NGR)","19 FEB 2009","1069","2009"
"4974","10.41","+2.0","Michael PROCTOR","07 FEB 1988","USA","2f5","Athens, GA (USA)","09 MAY 2009","1069","2009"
"4974","10.41","+1.9","Andrew MCCLOSKEY","","USA","1","Millersville, PA (USA)","09 MAY 2009","1069","2009"
"4974","10.41","+1.3","Justin CHRISTIAN","19 FEB 1989","USA","3h3","Gainesville, FL (USA)","16 MAY 2009","1069","2009"
"4974","10.41","+1.2","Gregory SEDOC","16 OCT 1981","NED","1","Hoorn (NED)","23 MAY 2009","1069","2009"
"4974","10.41","+1.2","Shawn STEWART","1986","TTO","4h3","Port-of-Spain (TTO)","19 JUN 2009","1069","2009"
"4974","10.41","+1.8","Yevgeniy KOTLYAROV","11 NOV 1986","RUS","3","Bryansk (RUS)","26 JUN 2009","1069","2009"
"4974","10.41","+1.8","Liam GANDER","06 APR 1988","AUS","2","Perth (AUS)","26 MAR 2010","1069","2010"
"4974","10.41","+1.9","Skye DAWSON","11 JAN 1991","USA","2h2","Albuquerque, NM (USA)","14 MAY 2010","1069","2010"
"4974","10.41","+1.0","Raymond CAMPBELL","21 APR 1986","JAM","1f6","Spanish Town (JAM)","15 MAY 2010","1069","2010"
"4974","10.41","+2.0","Tatsuya FUKUDA","25 OCT 1988","JPN","2","Osaka (JPN)","15 MAY 2010","1069","2010"
"4974","10.41","+1.2","Duronal MONAL","03 DEC 1988","USA","4h3","Greensboro, NC (USA)","27 MAY 2010","1069","2010"
"4974","10.41","+1.7","Hannu HÄMÄLÄINEN","30 APR 1985","FIN","2f1","Lapinlahti (FIN)","18 JUL 2010","1069","2010"
"4974","10.41","+1.2","Kemar MARSDEN","19 JAN 1989","JAM","1","San Antonio, TX (USA)","01 APR 2011","1069","2011"
"4974","10.41","+1.6","Patrick VOSLOO","02 MAY 1990","RSA","4sf3","Durban (RSA)","09 APR 2011","1069","2011"
"4974","10.41","+0.7","Armahd LEWIS","29 FEB 1988","USA","1","Berkeley, CA (USA)","23 APR 2011","1069","2011"
"4974","10.41","+0.3","Richard BOONE","07 OCT 1987","USA","2f1","Lynchburg, VA (USA)","05 MAY 2011","1069","2011"
"4974","10.41","+0.2","Christopher MCSWAIN","17 APR 1990","USA","2h2","Tucson, AZ (USA)","13 MAY 2011","1069","2011"
"4974","10.41","0.0","Huang XIANG","15 MAY 1992","CHN","1","Jiaxing (CHN)","21 MAY 2011","1069","2011"
"4974","10.41","+0.1","Travis BENTON","08 DEC 1989","USA","1","Marion, IN (USA)","27 MAY 2011","1069","2011"
"4974","10.41","+0.1","Damiere BYRD","27 JAN 1993","USA","1","Old Bridge, NJ (USA)","09 JUN 2011","1069","2011"
"4974","10.41","+1.0","Ronald DARBY","02 JAN 1994","USA","1h2","Greensboro, NC (USA)","17 JUN 2011","1069","2011"
"4974","10.41","+2.0","Yonehara SHOTA","1989","JPN","1","Miyazaki (JPN)","01 OCT 2011","1069","2011"
"4974","10.41","-1.0","Renan DE SOUZA OLIVEIRA","10 DEC 1986","BRA","1","Rio de Janeiro (BRA)","03 MAR 2012","1075","2012"
"4974","10.41","+1.5","Akheem GAUNTLETT","26 AUG 1990","JAM","3f1","Fayetteville, AR (USA)","31 MAR 2012","1069","2012"
"4974","10.41","+1.8","Rushane SCOTT","07 JUL 1988","JAM","2f1","Albuquerque, NM (USA)","07 APR 2012","1069","2012"
"4974","10.41","","Alvaro CASSIANI","08 FEB 1990","VEN","1","Maracaibo (VEN)","27 APR 2012","1069","2012"
"4974","10.41","-0.5","Dexter MCKENZIE","01 SEP 1991","JAM","1f2","Lincoln, NE (USA)","05 MAY 2012","1072","2012"
"4974","10.41","+0.9","Mario BRIGIDA","24 MAR 1986","ITA","f1","Marsa (MLT)","12 MAY 2012","1069","2012"
"4974","10.41","+1.4","Christian REYES","05 AUG 1986","CHI","3f1","Cochabamba (BOL)","27 MAY 2012","1069","2012"
"4974","10.41","","Aaron GEORGE","02 AUG 1995","USA","1h1","Mont Belvieu, TX (USA)","10 APR 2013","1069","2013"
"4974","10.41","+1.7","Deneko BROWN","15 JUN 1990","BAH","2","Hays, KS (USA)","04 MAY 2013","1069","2013"
"4974","10.41","","Kailo MOORE","1993","USA","1","Pearl, MS (USA)","13 MAY 2013","1069","2013"
"4974","10.41","+1.6","Steven GUGERLI","06 AUG 1985","SUI","1f2","Weinheim (GER)","25 MAY 2013","1069","2013"
"4974","10.41","-1.2","Nicholas AKINNIYI","18 JAN 1985","NGR","3","Ilorin (NGR)","01 JUN 2013","1076","2013"
"4974","10.41","+0.6","Konstantinos DOUVALIDIS","10 MAR 1987","GRE","3f2","Chania (GRE)","08 JUN 2013","1069","2013"
"4974","10.41","+0.8","Sergio RUIZ","21 OCT 1989","ESP","1h1","Barcelona (ESP)","10 JUL 2013","1069","2013"
"4974","10.41","+0.5","Robson VIEIRA BRAGA","25 AUG 1990","BRA","1","Campinas (BRA)","29 MAR 2014","1069","2014"
"4974","10.41","+1.5","Darius ROY","","USA","1f1","Lake Charles, LA (USA)","12 APR 2014","1069","2014"
"4974","10.41","+0.7","Tom BLOCKER","02 OCT 1990","USA","1","Berkeley, CA (USA)","26 APR 2014","1069","2014"
"4974","10.41","+1.6","Pedro BERNARDO","12 MAY 1989","POR","1f2","Salamanca (ESP)","12 JUN 2014","1069","2014"
"4974","10.41","+2.0","Shoichi KOBAYASHI","26 MAY 1993","JPN","1","Koshigaya (JPN)","02 AUG 2014","1069","2014"
"4974","10.41","+0.1","Masaharu MORI","27 JAN 1995","JPN","6sf2","Kumagaya (JPN)","05 SEP 2014","1069","2014"
"4974","10.41","+0.9","Yoshiya NISHIGAKI","14 SEP 1993","JPN","1f1","Itami (JPN)","05 OCT 2014","1069","2014"
"4974","10.41","+0.4","Mohamed Yaseen AL HASAN","30 AUG 1993","KSA","1f1","Tucson, AZ (USA)","21 MAR 2015","1069","2015"
"4974","10.41","+0.3","Javan MARTIN","15 APR 1998","BAH","1","Basseterre (SKN)","04 APR 2015","1069","2015"
"4974","10.41","+0.1","John SPOONEY","11 FEB 1992","USA","4f1","Charlottesville, VA (USA)","17 APR 2015","1069","2015"
"4974","10.41","+0.6","Jordan SARTOR-FRANCIS","","USA","1","West Point, NY (USA)","02 MAY 2015","1069","2015"
"4974","10.41","+1.9","DeVantre WHITELOW","31 OCT 1992","USA","1","Allendale, MI (USA)","08 MAY 2015","1069","2015"
"4974","10.41","+2.0","Ilfat SADEYEV","17 DEC 1988","RUS","6","Yerino (RUS)","06 JUN 2015","1069","2015"
"4974","10.41","+1.4","Anton PORTER","05 JUL 1996","USA","3","Greensboro, NC (USA)","20 JUN 2015","1069","2015"
"4974","10.41","+0.7","Tristan WALKER","24 OCT 1987","USA","4h3","Port-of-Spain (TTO)","27 JUN 2015","1069","2015"
"4974","10.41","+0.7","Hiroaki SUZUKI","19 MAY 1994","JPN","1","Maebashi (JPN)","04 JUL 2015","1069","2015"
"4974","10.41","+2.0","Nick GIRODAT","","USA","1f1","Rochester, MI (USA)","16 APR 2016","1069","2016"
"4974","10.41","+1.7","Zachary MENCHACA","","USA","1","Princeton, NJ (USA)","08 MAY 2016","1069","2016"
"4974","10.41","+1.8","Jakub MATÚŠ","01 FEB 1996","SVK","5f1","St. Pölten (AUT)","26 MAY 2016","1069","2016"
"4974","10.41","+0.9","Jamal WATKINS","","USA","1h2","Waverly, IA (USA)","27 MAY 2016","1069","2016"
"4974","10.41","+0.5","Furkan ŞEN","08 FEB 1994","TUR","1f1","Erzurum (TUR)","12 JUN 2016","1069","2016"
"4974","10.41","+0.9","Cumali Umutcan EMEKTAŞ","29 JUN 1991","TUR","6f2","Erzurum (TUR)","12 JUN 2016","1069","2016"
"4974","10.41","+1.6","Masanari ISHIDA","03 FEB 1993","JPN","1","Nara (JPN)","10 OCT 2016","1069","2016"
"4974","10.41","+0.8","Yoshinobu IMOTO","31 JUL 1999","JPN","1sf2","Nagoya (JPN)","22 OCT 2016","1069","2016"
"4974","10.41","+1.9","Rio MITCHAM","30 AUG 1999","GBR","1f1","Loughborough (GBR)","01 APR 2017","1069","2017"
"4974","10.41","+1.7","Mario WILLIAMS","03 NOV 1995","JAM","1f1","Kingston (JAM)","15 APR 2017","1069","2017"
"4974","10.41","+1.2","Tyson CAMPBELL","17 MAR 2000","USA","2","Fort Lauderdale, FL (USA)","27 APR 2017","1069","2017"
"4974","10.41","+1.3","Alex GRAY","","USA","2h1","Arkansas City, KS (USA)","05 MAY 2017","1069","2017"
"4974","10.41","+0.5","Japheth MORRIS","","USA","1","Albany, GA (USA)","13 MAY 2017","1069","2017"
"4974","10.41","+0.8","Anax DA SILVA","27 JUN 1995","GBR","1f2","Oordegem (BEL)","27 MAY 2017","1069","2017"
"4974","10.41","+1.7","Ricardo PEREIRA","04 MAR 1996","POR","4f1","Salamanca (ESP)","03 JUN 2017","1069","2017"
"4974","10.41","+1.7","Rafael JORGE","01 MAR 1997","POR","5f1","Salamanca (ESP)","03 JUN 2017","1069","2017"
"4974","10.41","0.0","Kirill CHERNUKHIN","15 AUG 1994","RUS","1","St. Petersburg (RUS)","17 JUN 2017","1069","2017"
"4974","10.41","+1.6","Chris STONE","08 APR 1995","GBR","2h3","Bedford (GBR)","29 JUL 2017","1069","2017"
"4974","10.41","0.0","Justin THOMAS","","USA","1f1","Clinton, MS (USA)","03 MAR 2018","1069","2018"
"4974","10.41","+1.1","John JONES","","USA","3f5","Raymond, MS (USA)","30 MAR 2018","1069","2018"
"4974","10.41","+1.0","Isaiah BRANDT-SIMS","26 APR 1989","USA","1","Berkeley, CA (USA)","07 APR 2018","1069","2018"
"4974","10.41","+0.7","Naukym MORTON","1997","USA","1","Williamsburg, VA (USA)","05 MAY 2018","1069","2018"
"4974","10.41","+0.9","Khai MCLIN","19 MAY 1997","USA","1","High Point, NC (USA)","11 MAY 2018","1069","2018"
"4974","10.41","+1.7","Terell SMITH","","USA","2","Mount Berry, GA (USA)","12 MAY 2018","1069","2018"
"4974","10.41","+1.4","Josiah JOHNSON","","USA","5h2","Tampa, FL (USA)","24 MAY 2018","1069","2018"
"4974","10.41","+0.6","Xholane TALANE","25 SEP 1997","BOT","1sf2","Lobatse (BOT)","27 MAY 2018","1069","2018"
"4974","10.41","+2.0","Timothy FREDERICK","17 AUG 2001","TTO","1","Port-of-Spain (TTO)","09 JUN 2018","1069","2018"
"4974","10.41","+1.8","Abdourahmane NDOUR","18 NOV 1986","SEN","1f1","Cergy-Pontoise (FRA)","23 JUN 2018","1069","2018"
"4974","10.41","+1.3","Yoann IBEKA","02 JUN 1998","FRA","3h1","Albi (FRA)","06 JUL 2018","1069","2018"
"4974","10.41","+1.8","Deivi DIAZ LUNA","14 JUL 1994","COL","4","Barranquilla (COL)","07 JUL 2018","1069","2018"
"4974","10.41","+0.7","Said Khaled AL-AMEERI","19 SEP 1998","BRN","1h1","Amman (JOR)","08 JUL 2018","1069","2018"
"4974","10.41","+1.8","Travane MORRISON","04 SEP 1992","JAM","2f2","Cork (IRL)","16 JUL 2018","1069","2018"
"4974","10.41","+1.0","Corey WREN","","USA","1f2","New Orleans, LA (USA)","23 MAR 2019","1069","2019"
"4974","10.41","+1.5","Javan GRAY","","JAM","1f1","Columbia, MO (USA)","06 APR 2019","1069","2019"
"4974","10.41","+0.8","Konstantinos ZIKOS","24 APR 1998","GRE","1f2","Kalamata (GRE)","19 JUN 2019","1069","2019"
"4974","10.41","+1.4","Sasha ZHOYA","25 JUN 2002","AUS","2f3","La Chaux-de-Fonds (SUI)","30 JUN 2019","1069","2019"
"4974","10.41","+1.2","Rico MOULTRIE","09 JAN 2000","BAH","3h2","San José (CRC)","19 JUL 2019","1069","2019"
"4974","10.41","-1.4","Abdu Ahmed MARZOUQ","16 FEB 2000","KSA","1","Tashkent (UZB)","24 AUG 2019","1077","2019"
"4974","10.41","-0.6","Taio KANAI","28 SEP 1995","JPN","1f1","Hosei University Stadium, Machida (JPN)","02 AUG 2020","1072","2020"
"4974","10.41","+1.0","Ali Khalid MAS","19 APR 2002","KSA","1","Jeddah (KSA)","18 MAR 2021","1069","2021"
"4974","10.41","+1.7","Zhibin ZENG","10 SEP 2001","CHN","2h6","Zhaoqing (CHN)","24 APR 2021","1069","2021"
"4974","10.41","+1.2","Travion DOTSON","","USA","2h5","Cowley Sport Complex, Arkansas City, KS (USA)","30 APR 2021","1069","2021"
"4974","10.41","+0.9","Davonye JONES","","USA","3","Dean A. Hayes Track and Soccer Stadium, Murfreesboro, TN (USA)","16 MAY 2021","1069","2021"
"4974","10.41","+1.7","Daniel RODRÍGUEZ","26 JAN 1995","ESP","1h2","Estadio de la Juventud de Granada, Granada (ESP)","30 MAY 2021","1069","2021"
"4974","10.41","+1.4","Yann RANDRIANASOLO","03 FEB 1994","FRA","1","Stade Du Moulin Boisseau, Carquefou (FRA)","11 JUN 2021","1069","2021"
"4974","10.41","+1.9","Brandon MILLER","27 JUN 2003","USA","4","Hayward Field, Eugene, OR (USA)","02 JUL 2021","1069","2021"
"4974","10.41","+1.1","Tommaso FORNESI","19 MAY 2000","ITA","1f1","Stadio D'Atletica Bruno Betti, Firenze (ITA)","03 JUL 2021","1069","2021"
"4974","10.41","+1.7","Masaya ARASAKI","02 MAY 1999","JPN","1","Athletic Park Athletics Stadium, Okinawa (JPN)","18 JUL 2021","1069","2021"
"4974","10.41","+1.1","Ryohei HONDA","11 AUG 1999","JPN","2sf3","Prefectural Stadium, Kumagaya (JPN)","18 SEP 2021","1069","2021"
"4974","10.41","+1.9","Brandon SMILEY","05 OCT 1999","USA","2f8","Mike A. Myers Stadium, Austin, TX (USA)","25 MAR 2022","1069","2022"
"4974","10.41","+1.5","Ka'mere DAY","07 DEC 2001","USA","2f2","Morris Williams T&F Stadium, Durham, NC (USA)","09 APR 2022","1069","2022"
"4974","10.41","+1.1","Rikuya ITO","10 NOV 1998","JPN","3f1","Triton Stadium, San Diego, CA (USA)","09 APR 2022","1069","2022"
"4974","10.41","+1.7","Nao KAWAMURA","15 APR 1998","JPN","2","Yotsuike Park Athletic Field, Hamamatsu (JPN)","10 APR 2022","1069","2022"
"4974","10.41","+1.2","Yuki YONEKURA","06 JAN 2000","JPN","1sf1","Ashitaka Park Stadium, Numazu (JPN)","17 APR 2022","1069","2022"
"4974","10.41","+1.6","Bervensky PIERRE","","USA","2f4","Clyde Hart Track & Field Stadium, Waco, TX (USA)","23 APR 2022","1069","2022"
"4974","10.41","+0.6","Anfernee LOPENA","11 FEB 1994","PHI","1","Pasig (PHI)","28 APR 2022","1069","2022"
"4974","10.41","+1.4","Agalivie EFE-SAM","05 DEC 2002","NGR","4f3","Yabatech Sport Complex, Lagos (NGR)","28 APR 2022","1069","2022"
"4974","10.41","+1.2","Kashii CROCKETT","2003","USA","1f3","Mike Sanders Track & Field Complex, Starkville, MS (USA)","30 APR 2022","1069","2022"
"4974","10.41","+0.5","P.J. LOTHARP","","USA","3","Anderson University Athletic Campus, Anderson, SC (USA)","06 MAY 2022","1069","2022"
"4974","10.41","+1.2","Rashun FOUNTAIN","2003","USA","2","Grisham Stadium, Carrollton, GA (USA)","14 MAY 2022","1069","2022"
"4974","10.41","+0.7","Tayshaun COOPER","","USA","4","Drake Stadium, Des Moines, IA (USA)","15 MAY 2022","1069","2022"
"4974","10.41","+0.4","Chao SHENG","20 MAY 1996","CHN","1h1","Nanjing (CHN)","05 JUN 2022","1069","2022"
"4974","10.41","+0.5","Yanic BERTHES","29 JAN 1995","GER","1h3","Enwag-Stadion, Wetzlar (GER)","11 JUN 2022","1069","2022"
"4974","10.41","-0.4","Jesús GÓMEZ","02 SEP 1999","ESP","2f2","Estadio Vallehermoso, Madrid (ESP)","18 JUN 2022","1071","2022"
"4974","10.41","+1.2","Zachary EVANS","16 MAR 2004","BAH","1","T. Robinson Stadium, Nassau (BAH)","24 JUN 2022","1069","2022"
"4974","10.41","+1.7","Cian O'DONNELL","27 SEP 1994","GBR","1f1","Ashton Playing Fields Woodford Green, London (GBR)","02 JUL 2022","1069","2022"
"4974","10.41","+1.8","Chrysley APPATORE","10 MAR 2003","FRA","1h4","Stade de L'Ill, Mulhouse (FRA)","15 JUL 2022","1069","2022"
"4974","10.41","+1.3","Joseph HARDING","31 OCT 2002","GBR","1f15","Dagenham Arena, London (GBR)","30 JUL 2022","1069","2022"
"4974","10.41","+1.6","Kodai KAWANO","04 JUL 2000","JPN","1sf2","Kamoike Auxiliary Stadium, Kagoshima (JPN)","20 AUG 2022","1069","2022"
"4974","10.41","+1.8","Masaki MORITA","04 APR 2000","JPN","2","Prefectural Stadium, Fukui (JPN)","10 SEP 2022","1069","2022"
"4974","10.41","+1.8","Shoki KAWATSU","11 JAN 2005","JPN","1h4","Ehime Athletics Stadium, Matsuyama (JPN)","21 OCT 2022","1069","2022"
"4974","10.41","+0.3","Joseph AYOADE","06 SEP 2004","AUS","2","AIS Athletics Track, Canberra (AUS)","28 JAN 2023","1069","2023"
"4974","10.41","+2.0","Jesse MCKENNA","29 AUG 2001","AUS","1sf1","Lakeside Stadium, Melbourne (AUS)","04 MAR 2023","1069","2023"
"4974","10.41","+0.8","José FIGUEROA","14 SEP 2004","PUR","1f6","Pista UAGM, Gurabo (PUR)","11 MAR 2023","1069","2023"
"4974","10.41","+0.5","Leonard KING","07 AUG 1997","AUS","2h1","Queensland Sport and Athletics Centre, Nathan, Brisbane (AUS)","31 MAR 2023","1069","2023"
"4974","10.41","+1.8","Leonardo Batista DE OLIVEIRA","08 DEC 2004","BRA","1sf2","Pista de Atletismo do CNTA, Cascavel (BRA)","07 APR 2023","1069","2023"
"4974","10.41","+1.1","Kendrick JONES","2008","USA","4","Mike A. Myers Stadium, Austin, TX (USA)","12 MAY 2023","1069","2023"
"4974","10.41","+0.3","Joseph MICHAEL","","USA","1f2","West Texas A&M University Track & Soccer Complex, Canyon, TX (USA)","12 MAY 2023","1069","2023"
"4974","10.41","+1.2","Francesco SANSOVINI","18 JAN 2000","SMR","1","Marsa Athletics Track, Marsa (MLT)","30 MAY 2023","1069","2023"
"4974","10.41","+1.2","Jonas HÜGEN","22 MAY 1994","GER","5f1","Sportzentrum Niederösterreich, St. Pölten (AUT)","08 JUN 2023","1069","2023"
"4974","10.41","+0.3","Shuoyuan LIU","18 JUN 2002","CHN","2sf3","Olympic Sports Center, Huangshi (CHN)","09 JUN 2023","1069","2023"
"4974","10.41","+1.7","Scott JOSEPH","22 SEP 2001","CAN","2","Foothills Athletic Park, Calgary (CAN)","18 JUN 2023","1069","2023"
"4974","10.41","+1.6","Towa SAITO","27 NOV 1998","JPN","6h6","Athletic Stadium, Tottori (JPN)","25 JUN 2023","1069","2023"
"4974","10.41","+2.0","Paul LADA","20 NOV 2000","FRA","4h1","Stade des Maradas, Cergy-Pontoise (FRA)","25 JUN 2023","1069","2023"
"4974","10.41","-1.2","Mindia ENDELADZE","24 MAY 1998","GEO","1h3","Central Stadium, Almaty (KAZ)","01 JUL 2023","1076","2023"
"4974","10.41","+0.2","Juliano DA SILVA","14 FEB 1995","BRA","6","Pista de Atletismo da Universidade Federal do Mato Grosso, Cuiaba (BRA)","06 JUL 2023","1069","2023"
"4974","10.41","+1.7","Gil-hoon KIM","13 NOV 2001","KOR","1sf2","Iksan Stadium, Iksan (KOR)","08 JUL 2023","1069","2023"
"4974","10.41","+1.4","Judah TAYLOR","10 NOV 1998","TTO","5","Hasely Crawford Stadium, Port-of-Spain (TTO)","29 JUL 2023","1069","2023"
"4974","10.41","+0.2","Pavel PETRUSHIN","04 JUN 2001","RUS","2h1","Yelena Yelesina Stadium, Chelyabinsk (RUS)","03 AUG 2023","1069","2023"
"4974","10.41","+0.5","Shoei TAKA","29 APR 2002","JPN","3f3","Hokuroku Park Athletic Field, Fujiyoshida (JPN)","08 AUG 2023","1069","2023"
"4974","10.41","+1.3","Yuan TAN","09 JUL 2001","CHN","3h4","Athletics Field of Anhui Vocational and Technical College, Hefei (CHN)","10 AUG 2023","1069","2023"
"4974","10.41","+0.8","Taiga MATSUURA","21 JUL 2002","JPN","1h7","Athletic Stadium, Tottori (JPN)","19 AUG 2023","1069","2023"
"4974","10.41","+0.1","Shinnosuke KATO","27 AUG 2002","JPN","4h4","Prefectural Stadium, Kumagaya (JPN)","14 SEP 2023","1069","2023"
"4974","10.41","+0.5","Kaito OTANI","02 JAN 2005","JPN","1h1","Gion Stadium, Sagamihara (JPN)","22 SEP 2023","1069","2023"
"4974","10.41","+1.7","Kiichiro SAKIMOTO","09 MAY 2003","JPN","1h11","Gion Stadium, Sagamihara (JPN)","22 SEP 2023","1069","2023"
"4974","10.41","+1.3","Matthew VAN ROOIJEN","08 JAN 2004","RSA","1f4","McArthur Stadium, Potchefstroom (RSA)","21 OCT 2023","1069","2023"
"4974","10.41","+1.8","Rolandt GROSSKOPF","08 FEB 2006","RSA","2f10","McArthur Stadium, Potchefstroom (RSA)","21 OCT 2023","1069","2023"
